"antiguedad_deuda","deuda_total","mujer","edad","region_bogota","propuesta_cuotas","propuesta_descuento","estrategia_agresiva","origen_deudor","estado_civil","tiene_propiedades","producto_origen_deuda","beneficiario_subsidios","helado_favorito","mes","ingreso","con_acuerdo"
491,48195063.4487439,0,42.2253695110985,0,5,0.0627916740719229,1,"Colombia","union libre",0,"credito vehiculo",0,"ron con pasas",5,4244878.1241769,0
615,61921106.5466283,0,27.1348395416564,0,6,0.32682532905601,0,"Colombia","soltero/a",0,"otro",0,"chocolate",7,2860101.84450314,0
850,35050550.3778113,0,42.5954403227503,0,6,0.57915824954398,0,"Colombia","union libre",0,"credito vehiculo",0,"otro",2,4547806.21035459,0
1243,85989430.6532806,0,27.0014172285991,1,9,0.484808156825602,0,"Venzuela","casado/a",0,"otro",0,"ron con pasas",5,4917511.37061968,0
416,11445571.3326344,0,39.5810927998632,0,9,0.259014665381983,0,"Colombia","soltero/a",1,"tarjeta credito",0,"otro",12,4045892.00066473,0
1231,4383814.93168417,1,33.4532176161046,0,9,0.553300468157977,0,"Colombia","union libre",0,"credito vehiculo",0,"fresa",1,2305718.86573648,0
1285,45851398.4319521,1,42.5800245572035,1,5,0.143703024135903,0,"Colombia","casado/a",0,"otro",1,"fresa",7,3413917.96146475,0
953,52442795.6705913,1,46.2982697444968,0,11,0.453457918250933,1,"Colombia","soltero/a",0,"otro",0,"ron con pasas",1,2965399.86253778,0
916,75681978.1973027,0,34.120537935745,0,12,0.425427938299254,0,"Colombia","casado/a",1,"credito vehiculo",0,"No le gusta el helado",12,3825540.92987835,0
252,59211047.3003704,1,40.2280491911398,1,12,0.00711638820357621,1,"Colombia","soltero/a",0,"otro",0,"No le gusta el helado",11,4898894.81823476,0
421,85057475.0847649,0,19.7019346396423,1,9,0.579916457086802,1,"Colombia","soltero/a",0,"credito vehiculo",0,"ron con pasas",12,4195189.06156221,0
387,46488694.7998311,1,32.7670062960344,0,7,0.45731666428037,1,"Colombia","casado/a",0,"libre inversion",0,"ron con pasas",2,3562303.61399049,0
